timestamp,cpu_percent,mem_usage,mem_percent
2026-09-10T14:54:24Z,0.07%,62.23MiB / 11.53GiB,0.53%
2026-09-10T14:54:28Z,0.06%,62.48MiB / 11.53GiB,0.53%
2026-09-10T14:54:30Z,0.17%,62.24MiB / 11.53GiB,0.53%
2026-09-10T14:54:32Z,11.80%,64.5MiB / 11.53GiB,0.55%
2026-09-10T14:54:34Z,17.84%,64.5MiB / 11.53GiB,0.55%
2026-09-10T14:54:37Z,19.30%,65.32MiB / 11.53GiB,0.55%
2026-09-10T14:54:39Z,17.07%,65.31MiB / 11.53GiB,0.55%
2026-09-10T14:54:41Z,12.54%,65.36MiB / 11.53GiB,0.55%
2026-09-10T14:54:43Z,22.18%,65.39MiB / 11.53GiB,0.55%
2026-09-10T14:54:46Z,25.79%,65.53MiB / 11.53GiB,0.56%
2026-09-10T14:54:48Z,26.09%,65.55MiB / 11.53GiB,0.56%
2026-09-10T14:54:50Z,11.51%,65.59MiB / 11.53GiB,0.56%
2026-09-10T14:54:52Z,18.28%,65.57MiB / 11.53GiB,0.56%
2026-09-10T14:54:55Z,20.30%,66.29MiB / 11.53GiB,0.56%
2026-09-10T14:54:57Z,18.52%,66.29MiB / 11.53GiB,0.56%
2026-09-10T14:54:59Z,14.78%,66.41MiB / 11.53GiB,0.56%
2026-09-10T14:55:03Z,17.46%,66.31MiB / 11.53GiB,0.56%
2026-09-10T14:55:06Z,18.99%,66.28MiB / 11.53GiB,0.56%
2026-09-10T14:55:08Z,13.37%,66.33MiB / 11.53GiB,0.56%
2026-09-10T14:55:10Z,16.87%,66.33MiB / 11.53GiB,0.56%
2026-09-10T14:55:13Z,17.22%,66.34MiB / 11.53GiB,0.56%
2026-09-10T14:55:15Z,18.11%,66.36MiB / 11.53GiB,0.56%
2026-09-10T14:55:17Z,12.74%,66.35MiB / 11.53GiB,0.56%
2026-09-10T14:55:19Z,13.23%,66.35MiB / 11.53GiB,0.56%
2026-09-10T14:55:22Z,23.59%,66.37MiB / 11.53GiB,0.56%
2026-09-10T14:55:24Z,26.05%,66.37MiB / 11.53GiB,0.56%
2026-09-10T14:55:26Z,23.66%,66.34MiB / 11.53GiB,0.56%
2026-09-10T14:55:28Z,16.70%,66.36MiB / 11.53GiB,0.56%
2026-09-10T14:55:31Z,13.65%,66.36MiB / 11.53GiB,0.56%
